X1_raw_rmhost	X4_raw_rmhost	X8_raw_rmhost	X10_raw_rmhost	X11_raw_rmhost	X12_raw_rmhost	X14_raw_rmhost	X17_raw_rmhost	X21_raw_rmhost	X23_raw_rmhost	X24_raw_rmhost	X25_raw_rmhost	ko
K00002	0	0	0	0	0	6.01014667475588	0.373652225663151	0	0.113493565071019	0	0	0	K00002
K00003	281.415064771228	250.593374048392	500.398128635735	397.863438010589	230.450408615705	134.771974230776	236.422841004974	273.644949068656	351.973053612147	408.587277003169	231.469769476896	170.020555927886	K00003
K00004	330.552329890741	200.250159591935	269.657637908361	116.464504624941	88.9633646498047	92.8834778879773	249.604357395806	206.378024353965	456.437070646115	170.24323126776	151.801777772541	123.844864205725	K00004
K00005	60.546495334016	320.195572947991	24.5914567349424	74.2454966067883	209.396233957635	285.355086176659	116.247878056627	195.393033814411	48.5116894539562	159.196323968334	590.827662904867	315.163908565252	K00005
K00007	3.784155958376	1.27290049194583	3.52271076542091	0	0	0.0741993416636528	11.022740657063	1.91316623193089	2.04288417127833	0	0	0.263334426701803	K00007
K00008	6.30692659729333	17.3063550884956	53.5452036343978	3.8556932852635	4.60621423908711	11.3985028663704	15.3253460355741	20.4073342318143	24.8675750427109	1.65346779278258	3.28367315862057	10.1383754280194	K00008
K00009	59.9158026742866	32.0796381980189	35.3034330541265	34.7717627235702	212.41443695987	19.2176294908861	62.9753461132675	40.546141917504	64.7605631651739	87.8599399577454	51.0562529155741	30.9417951374619	K00009
K00010	38.9137371052998	264.574913051925	319.374829177668	82.0697202272332	128.172064346585	87.5003156502792	145.157350756185	242.361264808314	179.631940116155	50.8839883921282	164.336896011764	166.786809167988	K00010
K00011	0	0.7637402951675	1.17423692180697	0.769343522167642	0.453070253024962	0.51939539164557	0	0.384683067348962	0.226987130142037	1.76098027258235	0.729705146360126	0	K00011
K00012	233.677937356315	281.886359742389	635.244561143743	347.624023773838	254.67607504495	202.993074936588	309.179468255539	229.955065067897	283.489901512644	264.188748314861	228.896342660732	380.250962141003	K00012
K00013	554.64373881917	368.596341253739	157.799828737029	978.160023193587	151.348873140077	105.348967287471	303.748433155525	371.790376766711	143.025725638148	429.968358007486	257.135931824869	487.862575612695	K00013
K00014	349.164070279353	234.083854667855	196.391125172215	229.083573878248	313.569922118576	201.570673556896	298.696655064559	285.891262773976	144.699755722946	342.189979241312	295.995163219034	286.572373186104	K00014
K00015	122.209316675753	892.01556934285	141.671684616011	163.708608082053	690.953279141541	656.194491890597	266.879233918777	605.288215731951	138.064921908894	374.246308024368	1443.57690721948	637.481296831858	K00015
K00016	1927.13818414235	1809.81755685154	1107.96298994018	2185.23436469054	2177.92456374985	1200.60025563073	1784.39021561284	2470.90338424186	3684.99532583528	1940.85513910941	2358.40095215971	1944.59965734013	K00016
K00018	30.9039403267373	86.57250825822	123.88493084294	87.7962005105677	67.1676650109506	49.2119713650011	55.7731994636102	85.0573208506848	84.9272347426432	40.7481566758331	89.3803672024079	117.024502554148	K00018
K00019	0.630692659729333	12.9835850178475	44.3802844596944	13.1070491393294	52.8287466197989	21.4117040238803	1.30778278982103	20.6348643586832	36.4983955911889	3.70732688964705	30.5892397354165	12.1568338086887	K00019
K00020	14.2662679630775	7.14351756080002	6.45830306993833	28.1169412568201	2.65574679981465	1.48398683327306	11.780320544595	5.82627444988383	4.98236750661771	13.6272068146201	2.86287652421956	8.5728522612772	K00020
K00021	1.26138531945867	22.4794226877634	17.026435366201	1.15401528325146	1.2081873413999	23.2674295588883	23.4466771603627	25.8277441310671	6.24214607890602	2.13171296154705	0.972940195146835	22.1727587282918	K00021
K00022	9.04413274051863	111.760663192844	10.9791152188952	11.5850312046411	124.784609088135	8.45872494965642	7.45529603254402	85.4864167055607	9.87394016117861	10.3805152910117	174.706006141541	35.2578463911044	K00022
K00023	17.028701812692	4.32786167261583	1.76135538271045	0	0	0.370996708318264	14.946089026526	3.82633246386179	1.70240347606528	0	0	0	K00023
K00024	955.013746141948	1133.3549568148	779.449661918552	1092.0574849329	568.366060780577	485.362379604702	1088.07154460884	1884.15648239193	577.568752646413	1019.83465159717	832.737080675688	1345.43088624912	K00024
K00025	0	0	0	0	0	1.18718946661845	0	0	0	0	0	0	K00025
K00026	0	0	0	0	0	6.75214009139241	0	0	0	0	1.94588039029367	0.658336066754508	K00026
K00027	90.4791689647701	340.775828101771	221.91316466769	198.073900978077	277.89063969286	172.26712755367	115.454801207657	244.308594722958	120.153367469386	168.177323358504	561.908231779371	264.479931457956	K00027
K00029	114.59685627282	290.254407576441	332.972492732193	207.538108539943	185.873581537667	159.631721661766	150.090494265503	290.905808122598	1384.78265472883	142.706133963184	113.155377046065	165.171252460172	K00029
K00030	10.7217752153987	197.495602927364	44.0485625292839	200.398600654227	30.9756580822283	20.0264023150199	18.7853656452149	48.5172123681132	38.310887825373	48.0932980759464	35.3906995984661	33.5751394044799	K00030
K00031	171.094304731373	208.40436014334	247.969481962587	199.49462201568	87.1133277832862	49.822631946893	215.87850750745	204.849541189383	157.013807533151	122.187933292432	131.135311852378	128.929851985336	K00031
K00033	1618.38259257186	667.692315647235	357.446525774955	1165.99652637002	1147.54841873504	575.427024502877	996.550102585471	861.087423498617	636.641018330228	1390.04646113388	941.381663742004	962.938948136884	K00033
K00034	4.41484861810533	0	2.67138899711085	0	0	0	0.653891394910514	0	0.453974260284074	0	0	0	K00034
K00036	664.523013997214	295.806799522308	192.839058483749	410.481954013342	621.673551634406	235.328406040191	390.853305871554	338.967276963319	448.784199553376	414.21777971682	291.19856805696	406.151219679259	K00036
K00038	0	0	0	0	0.226535126512481	0	0	0	0	0	2.18911543908038	0	K00038
